,Dublin/ Pleasanton,West Dublin/Pleasanton,Castro Valley,Fremont,Union City,South Hayward,Hayward,Bay Fair,San Leandro,Coliseum/Oakland Airport,Fruitvale,Lake Merritt,Richmond,El Cerrito Del Norte,El Cerrito Plaza,North Berkeley,Berkeley,Ashby,Pittsburg/ Bay Point,North Concord,Concord,Pleasant Hill,Walnut Creek,Lafayette,Orinda,Rockridge,MacArthur,19th St Oakland,12th St Oakland City Center,West Oakland,Embarcadero,Montgomery,Powell,Civic Center,16th St Mission,24th St Mission,Glen Park,Balboa Park,Daly City,Colma,South San Francisco,San Bruno,SFO,Oakland International Airport,Warm Springs,Milpitas,Berryessa,Alum Rock,Downtown San Jose,Diridon-Caltrain,Santa Clara,Irvington,Millbrae,Alameda,Mission Rock,Ballpark ,3rd and Mission,Union Square,Van Ness,Fillmore,14th Street,11th Street,Eastlake,Howard Terminal
South San Francisco,458,444,381,458,434,402,381,364,346,329,315,297,360,343,332,322,318,311,486,451,437,409,399,374,350,311,304,297,297,290,266,266,266,266,252,245,231,217,217,217,0,217,518,748,490,500,511,574,584,584,602,476,217,,,,,,,,,,,
San Bruno,476,462,399,476,451,420,399,381,364,346,332,315,378,360,350,339,332,329,504,469,455,427,416,392,367,329,322,315,315,308,290,290,290,290,280,273,255,248,217,217,217,0,518,766,507,518,528,577,602,602,619,493,217,,,,,,,,,,,
SFO,787,776,710,787,766,731,713,692,675,658,644,626,689,675,661,651,647,640,815,780,766,738,727,703,678,640,633,626,626,619,605,605,605,605,602,595,577,567,553,539,518,518,0,1077,818,829,839,902,913,913,927,804,297,,,,,,,,,,,
Oakland International Airport,685,675,591,689,665,623,591,549,549,420,549,549,651,637,626,605,595,584,766,731,717,689,678,654,630,574,570,549,549,567,703,703,703,703,710,713,724,727,738,734,748,766,1077,0,720,731,741,780,794,794,811,706,787,,,,,,,,,,,
Warm Springs,357,346,283,129,129,129,129,161,280,301,315,332,392,381,367,353,353,346,507,472,458,430,423,399,371,336,336,332,332,339,448,448,448,448,451,455,465,472,479,476,490,507,818,720,0,129,129,129,224,224,241,129,528,,,,,,,,,,,
Milpitas,367,357,294,157,157,157,157,171,290,311,325,343,402,392,378,364,364,357,518,483,469,441,434,409,381,346,346,343,343,350,458,458,458,458,462,465,476,483,490,486,500,518,829,731,129,0,129,129,129,129,129,129,539,,,,,,,,,,,
Berryessa,378,367,304,182,182,182,182,182,301,322,336,353,413,402,388,374,374,367,528,493,479,451,444,420,392,357,357,353,353,360,469,469,469,469,472,476,486,493,500,497,511,528,839,741,129,129,0,129,129,129,129,129,549,,,,,,,,,,,
Alum Rock,465,420,357,241,266,301,318,336,353,371,385,402,465,455,437,427,423,420,577,546,532,504,493,469,444,409,409,402,402,409,521,521,521,521,525,528,539,542,553,549,574,577,902,780,129,129,129,0,129,129,129,129,602,,,,,,,,,,,
Downtown San Jose,437,430,367,252,273,308,325,350,364,385,399,413,476,465,451,434,430,427,602,567,542,514,504,483,455,416,420,413,413,420,532,532,532,532,535,539,549,553,563,560,584,602,913,794,224,129,129,129,0,129,129,129,626,,,,,,,,,,,
Diridon-Caltrain,441,430,367,245,273,308,329,350,364,385,399,413,476,465,451,434,430,427,602,567,542,514,504,483,455,416,420,413,413,420,532,532,532,532,535,539,549,553,563,560,584,602,913,794,224,129,129,129,129,0,129,129,626,,,,,,,,,,,
Santa Clara,458,448,385,269,290,325,343,364,381,399,413,427,490,476,465,455,451,444,605,584,560,532,521,497,469,434,434,427,427,434,546,546,546,546,553,556,577,581,591,588,602,619,927,811,241,129,129,129,129,129,0,129,644,,,,,,,,,,,
Irvington,343,332,269,147,129,129,129,147,266,287,301,318,378,367,353,339,339,332,493,458,444,416,409,385,357,322,322,318,318,325,434,434,434,434,437,441,451,458,465,462,476,493,804,706,129,129,129,129,129,129,129,0,514,,,,,,,,,,,
Millbrae,497,486,423,497,476,441,423,402,388,367,353,336,399,385,374,360,357,350,525,490,476,448,437,413,388,350,343,336,336,329,315,315,315,315,311,308,290,283,266,252,217,217,297,787,528,539,549,602,626,626,644,514,0,,,,,,,,,,,
Alameda,304,294,231,308,283,252,231,206,178,147,129,129,206,182,164,143,136,129,332,297,283,255,245,220,178,129,129,129,258,129,217,217,217,217,234,238,255,266,280,276,290,308,619,567,339,350,360,409,420,420,434,325,329,0,,,,,,,,,,
Mission Rock,420,409,346,420,399,364,346,325,311,290,273,245,322,308,297,283,280,273,448,413,399,371,360,336,311,273,259,245,245,234,129,129,129,387,129,129,129,129,206,234,252,280,602,710,451,462,472,525,535,535,553,437,311,231,0,,,,,,,,,
Ballpark ,420,409,346,420,399,364,346,325,311,290,273,245,322,308,297,283,280,273,448,413,399,371,360,336,311,273,259,245,245,234,129,129,129,387,129,129,129,129,206,234,252,280,602,710,451,462,472,525,535,535,553,437,311,231,129,0,,,,,,,,
3rd and Mission,420,409,346,420,399,364,346,325,311,290,273,245,322,308,297,283,280,273,448,413,399,371,360,336,311,273,259,245,245,234,129,129,129,387,129,129,129,129,206,234,252,280,602,710,451,462,472,525,535,535,553,437,311,231,129,129,0,,,,,,,
Union Square,420,409,346,420,399,364,346,325,311,290,273,245,322,308,297,283,280,273,448,413,399,371,360,336,311,273,259,245,245,234,129,129,129,387,129,129,129,129,206,234,252,280,602,710,451,462,472,525,535,535,553,437,311,231,129,129,129,0,,,,,,
Van Ness,420,409,346,420,399,364,346,325,311,290,273,245,322,308,297,283,280,273,448,413,399,371,360,336,311,273,259,245,245,234,129,129,129,258,129,129,129,129,206,234,252,280,602,710,451,462,472,525,535,535,553,437,311,231,129,129,129,129,0,,,,,
Fillmore,420,409,346,420,399,364,346,325,311,290,273,245,322,308,297,283,280,273,448,413,399,371,360,336,311,273,259,245,245,234,129,129,129,258,129,129,129,129,206,234,252,280,602,710,451,462,472,525,535,535,553,437,311,231,129,129,129,129,129,0,,,,
14th Street,297,287,224,301,276,245,224,192,168,129,129,129,196,171,154,133,129,129,322,287,273,248,238,206,164,129,129,129,258,258,231,231,231,231,245,252,269,276,287,283,297,315,626,549,332,343,353,402,413,413,427,318,336,129,231,231,231,231,245,245,0,,,
11th Street,297,287,224,301,276,245,224,192,168,129,129,129,196,171,154,133,129,129,322,287,273,248,238,206,164,129,129,129,129,129,231,231,231,231,245,252,269,276,287,283,297,315,626,549,332,343,353,402,413,413,427,318,336,129,231,231,231,231,245,245,129,0,,
Eastlake,297,287,224,301,276,245,224,192,168,129,129,129,196,171,154,133,129,129,322,287,273,248,238,206,164,129,129,129,258,129,231,231,231,231,245,252,269,276,287,283,297,315,626,549,332,343,353,402,413,413,427,318,336,129,231,231,231,231,245,245,129,129,0,
Howard Terminal,297,287,224,301,276,245,224,192,168,129,129,129,196,171,154,133,129,129,322,287,273,248,238,206,164,129,129,129,129,258,231,231,231,231,245,252,269,276,287,283,297,315,626,549,332,343,353,402,413,413,427,318,336,129,231,231,231,231,245,245,129,129,129,0
