,fare,name_from,name_to,node_from,node_to,key
95,273,Castro Valley,El Cerrito Del Norte,15537,15521,1552115537
96,259,Castro Valley,El Cerrito Plaza,15537,15522,1552215537
97,248,Castro Valley,North Berkeley,15537,15524,1552415537
98,245,Castro Valley,Berkeley,15537,15523,1552315537
99,238,Castro Valley,Ashby,15537,15525,1552515537
100,402,Castro Valley,Pittsburg/ Bay Point,15537,15536,1553615537
101,367,Castro Valley,North Concord,15537,15535,1553515537
102,353,Castro Valley,Concord,15537,15501,1550115537
103,325,Castro Valley,Pleasant Hill,15537,15502,1550215537
104,315,Castro Valley,Walnut Creek,15537,15503,1550315537
105,290,Castro Valley,Lafayette,15537,15504,1550415537
106,266,Castro Valley,Orinda,15537,15505,1550515537
107,231,Castro Valley,Rockridge,15537,15506,1550615537
108,231,Castro Valley,MacArthur,15537,15507,1550715537
109,224,Castro Valley,19th St Oakland,15537,15508,1550815537
110,224,Castro Valley,12th St Oakland City Center,15537,15509,1550915537
111,231,Castro Valley,West Oakland,15537,15510,1551015537
112,339,Castro Valley,Embarcadero,15537,15511,1551115537
113,339,Castro Valley,Montgomery,15537,15512,1551215537
114,339,Castro Valley,Powell,15537,15513,1551315537
115,339,Castro Valley,Civic Center,15537,15514,1551415537
116,346,Castro Valley,16th St Mission,15537,15515,1551515537
117,350,Castro Valley,24th St Mission,15537,15516,1551615537
118,360,Castro Valley,Glen Park,15537,15517,1551715537
119,364,Castro Valley,Balboa Park,15537,15518,1551815537
120,371,Castro Valley,Daly City,15537,15519,1551915537
121,371,Castro Valley,Colma,15537,15539,1553715539
122,381,Castro Valley,South San Francisco,15537,15540,1553715540
123,399,Castro Valley,San Bruno,15537,15541,1553715541
124,710,Castro Valley,SFO,15537,15542,1553715542
125,423,Castro Valley,Millbrae,15537,15543,1553715543
126,129,Fremont,Union City,15526,15527,1552615527
127,129,Fremont,South Hayward,15526,15528,1552615528
128,129,Fremont,Hayward,15526,15529,1552615529
129,129,Fremont,Bay Fair,15526,15530,1552615530
130,248,Fremont,San Leandro,15526,15531,1552615531
131,269,Fremont,Coliseum/Oakland Airport,15526,15532,1552615532
132,283,Fremont,Fruitvale,15526,15533,1552615533
133,301,Fremont,Lake Merritt,15526,15534,1552615534
134,360,Fremont,Richmond,15526,15520,1552015526
135,350,Fremont,El Cerrito Del Norte,15526,15521,1552115526
136,336,Fremont,El Cerrito Plaza,15526,15522,1552215526
137,322,Fremont,North Berkeley,15526,15524,1552415526
138,322,Fremont,Berkeley,15526,15523,1552315526
139,315,Fremont,Ashby,15526,15525,1552515526
140,476,Fremont,Pittsburg/ Bay Point,15526,15536,1552615536
141,441,Fremont,North Concord,15526,15535,1552615535
142,427,Fremont,Concord,15526,15501,1550115526
143,399,Fremont,Pleasant Hill,15526,15502,1550215526
144,392,Fremont,Walnut Creek,15526,15503,1550315526
145,367,Fremont,Lafayette,15526,15504,1550415526
146,339,Fremont,Orinda,15526,15505,1550515526
147,304,Fremont,Rockridge,15526,15506,1550615526
148,304,Fremont,MacArthur,15526,15507,1550715526
149,301,Fremont,19th St Oakland,15526,15508,1550815526
150,301,Fremont,12th St Oakland City Center,15526,15509,1550915526
151,308,Fremont,West Oakland,15526,15510,1551015526
152,416,Fremont,Embarcadero,15526,15511,1551115526
153,416,Fremont,Montgomery,15526,15512,1551215526
154,416,Fremont,Powell,15526,15513,1551315526
155,416,Fremont,Civic Center,15526,15514,1551415526
156,420,Fremont,16th St Mission,15526,15515,1551515526
157,423,Fremont,24th St Mission,15526,15516,1551615526
158,434,Fremont,Glen Park,15526,15517,1551715526
159,441,Fremont,Balboa Park,15526,15518,1551815526
160,448,Fremont,Daly City,15526,15519,1551915526
161,444,Fremont,Colma,15526,15539,1552615539
162,458,Fremont,South San Francisco,15526,15540,1552615540
163,476,Fremont,San Bruno,15526,15541,1552615541
164,787,Fremont,SFO,15526,15542,1552615542
165,497,Fremont,Millbrae,15526,15543,1552615543
166,129,Union City,South Hayward,15527,15528,1552715528
167,129,Union City,Hayward,15527,15529,1552715529
168,129,Union City,Bay Fair,15527,15530,1552715530
169,220,Union City,San Leandro,15527,15531,1552715531
170,245,Union City,Coliseum/Oakland Airport,15527,15532,1552715532
171,259,Union City,Fruitvale,15527,15533,1552715533
172,276,Union City,Lake Merritt,15527,15534,1552715534
173,339,Union City,Richmond,15527,15520,1552015527
174,325,Union City,El Cerrito Del Norte,15527,15521,1552115527
175,315,Union City,El Cerrito Plaza,15527,15522,1552215527
176,301,Union City,North Berkeley,15527,15524,1552415527
177,297,Union City,Berkeley,15527,15523,1552315527
178,290,Union City,Ashby,15527,15525,1552515527
179,455,Union City,Pittsburg/ Bay Point,15527,15536,1552715536
180,420,Union City,North Concord,15527,15535,1552715535
181,406,Union City,Concord,15527,15501,1550115527
182,378,Union City,Pleasant Hill,15527,15502,1550215527
183,367,Union City,Walnut Creek,15527,15503,1550315527
184,343,Union City,Lafayette,15527,15504,1550415527
185,318,Union City,Orinda,15527,15505,1550515527
186,283,Union City,Rockridge,15527,15506,1550615527
187,283,Union City,MacArthur,15527,15507,1550715527
188,276,Union City,19th St Oakland,15527,15508,1550815527
189,276,Union City,12th St Oakland City Center,15527,15509,1550915527
190,283,Union City,West Oakland,15527,15510,1551015527
191,392,Union City,Embarcadero,15527,15511,1551115527
192,392,Union City,Montgomery,15527,15512,1551215527
193,392,Union City,Powell,15527,15513,1551315527
194,392,Union City,Civic Center,15527,15514,1551415527
195,399,Union City,16th St Mission,15527,15515,1551515527
196,402,Union City,24th St Mission,15527,15516,1551615527
197,413,Union City,Glen Park,15527,15517,1551715527
198,416,Union City,Balboa Park,15527,15518,1551815527
199,423,Union City,Daly City,15527,15519,1551915527
200,423,Union City,Colma,15527,15539,1552715539
201,434,Union City,South San Francisco,15527,15540,1552715540
202,451,Union City,San Bruno,15527,15541,1552715541
203,766,Union City,SFO,15527,15542,1552715542
204,476,Union City,Millbrae,15527,15543,1552715543
205,129,South Hayward,Hayward,15528,15529,1552815529
206,129,South Hayward,Bay Fair,15528,15530,1552815530
207,171,South Hayward,San Leandro,15528,15531,1552815531
