,fare,name_from,name_to,node_from,node_to,key,
43,129,West Dublin/Pleasanton,Castro Valley,15545,15537,1553715545,15545   15537   129  ;West Dublin/Pleasanton to Castro Valley
44,315,West Dublin/Pleasanton,Fremont,15545,15526,1552615545,15545   15526   315  ;West Dublin/Pleasanton to Fremont
45,294,West Dublin/Pleasanton,Union City,15545,15527,1552715545,15545   15527   294  ;West Dublin/Pleasanton to Union City
46,259,West Dublin/Pleasanton,South Hayward,15545,15528,1552815545,15545   15528   259  ;West Dublin/Pleasanton to South Hayward
47,241,West Dublin/Pleasanton,Hayward,15545,15529,1552915545,15545   15529   241  ;West Dublin/Pleasanton to Hayward
48,129,West Dublin/Pleasanton,Bay Fair,15545,15530,1553015545,15545   15530   129  ;West Dublin/Pleasanton to Bay Fair
49,238,West Dublin/Pleasanton,San Leandro,15545,15531,1553115545,15545   15531   238  ;West Dublin/Pleasanton to San Leandro
50,255,West Dublin/Pleasanton,Coliseum/Oakland Airport,15545,15532,1553215545,15545   15532   255  ;West Dublin/Pleasanton to Coliseum/Oakland Airport
51,269,West Dublin/Pleasanton,Fruitvale,15545,15533,1553315545,15545   15533   269  ;West Dublin/Pleasanton to Fruitvale
52,287,West Dublin/Pleasanton,Lake Merritt,15545,15534,1553415545,15545   15534   287  ;West Dublin/Pleasanton to Lake Merritt
53,350,West Dublin/Pleasanton,Richmond,15545,15520,1552015545,15545   15520   350  ;West Dublin/Pleasanton to Richmond
54,336,West Dublin/Pleasanton,El Cerrito Del Norte,15545,15521,1552115545,15545   15521   336  ;West Dublin/Pleasanton to El Cerrito Del Norte
55,325,West Dublin/Pleasanton,El Cerrito Plaza,15545,15522,1552215545,15545   15522   325  ;West Dublin/Pleasanton to El Cerrito Plaza
56,311,West Dublin/Pleasanton,North Berkeley,15545,15524,1552415545,15545   15524   311  ;West Dublin/Pleasanton to North Berkeley
57,308,West Dublin/Pleasanton,Berkeley,15545,15523,1552315545,15545   15523   308  ;West Dublin/Pleasanton to Berkeley
58,301,West Dublin/Pleasanton,Ashby,15545,15525,1552515545,15545   15525   301  ;West Dublin/Pleasanton to Ashby
59,465,West Dublin/Pleasanton,Pittsburg/ Bay Point,15545,15536,1553615545,15545   15536   465  ;West Dublin/Pleasanton to Pittsburg/ Bay Point
60,430,West Dublin/Pleasanton,North Concord,15545,15535,1553515545,15545   15535   430  ;West Dublin/Pleasanton to North Concord
61,416,West Dublin/Pleasanton,Concord,15545,15501,1550115545,15545   15501   416  ;West Dublin/Pleasanton to Concord
62,388,West Dublin/Pleasanton,Pleasant Hill,15545,15502,1550215545,15545   15502   388  ;West Dublin/Pleasanton to Pleasant Hill
63,378,West Dublin/Pleasanton,Walnut Creek,15545,15503,1550315545,15545   15503   378  ;West Dublin/Pleasanton to Walnut Creek
64,353,West Dublin/Pleasanton,Lafayette,15545,15504,1550415545,15545   15504   353  ;West Dublin/Pleasanton to Lafayette
65,329,West Dublin/Pleasanton,Orinda,15545,15505,1550515545,15545   15505   329  ;West Dublin/Pleasanton to Orinda
66,294,West Dublin/Pleasanton,Rockridge,15545,15506,1550615545,15545   15506   294  ;West Dublin/Pleasanton to Rockridge
67,294,West Dublin/Pleasanton,MacArthur,15545,15507,1550715545,15545   15507   294  ;West Dublin/Pleasanton to MacArthur
68,287,West Dublin/Pleasanton,19th St Oakland,15545,15508,1550815545,15545   15508   287  ;West Dublin/Pleasanton to 19th St Oakland
69,287,West Dublin/Pleasanton,12th St Oakland City Center,15545,15509,1550915545,15545   15509   287  ;West Dublin/Pleasanton to 12th St Oakland City Center
70,294,West Dublin/Pleasanton,West Oakland,15545,15510,1551015545,15545   15510   294  ;West Dublin/Pleasanton to West Oakland
71,402,West Dublin/Pleasanton,Embarcadero,15545,15511,1551115545,15545   15511   402  ;West Dublin/Pleasanton to Embarcadero
72,402,West Dublin/Pleasanton,Montgomery,15545,15512,1551215545,15545   15512   402  ;West Dublin/Pleasanton to Montgomery
73,402,West Dublin/Pleasanton,Powell,15545,15513,1551315545,15545   15513   402  ;West Dublin/Pleasanton to Powell
74,402,West Dublin/Pleasanton,Civic Center,15545,15514,1551415545,15545   15514   402  ;West Dublin/Pleasanton to Civic Center
75,409,West Dublin/Pleasanton,16th St Mission,15545,15515,1551515545,15545   15515   409  ;West Dublin/Pleasanton to 16th St Mission
76,413,West Dublin/Pleasanton,24th St Mission,15545,15516,1551615545,15545   15516   413  ;West Dublin/Pleasanton to 24th St Mission
77,423,West Dublin/Pleasanton,Glen Park,15545,15517,1551715545,15545   15517   423  ;West Dublin/Pleasanton to Glen Park
78,427,West Dublin/Pleasanton,Balboa Park,15545,15518,1551815545,15545   15518   427  ;West Dublin/Pleasanton to Balboa Park
79,434,West Dublin/Pleasanton,Daly City,15545,15519,1551915545,15545   15519   434  ;West Dublin/Pleasanton to Daly City
