,EA,AM,MD,PM,EV
DA,56257.14775,272482.0461,133483.9565,169626.658,88570.70366
S2,7813.899801,48195.95587,36318.63746,35734.96193,28005.49867
S3,3179.13494,24272.33185,18804.0906,13202.9074,13121.51497
SM,3603.230294,6659.339198,67402.29377,31298.8726,18604.40748
HV,6588.480144,9211.941877,13634.76048,7822.6254,4928.093696
